SOUTH COMMON CENTRE BUS TERMINAL PLATFORM I,5:44 AM[c],6:14 AM[c],6:44 AM[c],7:14 AM[c],7:41 AM[c],8:14 AM[c],8:44 AM[c],9:14 AM[c],9:44 AM[c],10:14 AM[c],10:44 AM[c],11:14 AM[c],11:44 AM[c],12:14 PM[c],12:44 PM[c],1:11 PM[c],1:44 PM[c],2:14 PM[c],2:46 PM[c],3:14 PM[c],3:44 PM[c],4:11 PM[c],4:44 PM[c],5:14 PM[c],5:44 PM[c],6:14 PM[c],6:41 PM[c],7:17 PM[c],7:44 PM[c],8:14 PM[c],8:44 PM[c],9:14 PM[c],9:41 PM[c],10:14 PM[c],10:44 PM[c],11:14 PM[c],11:47 PM[c],12:11 AM[c],12:44 AM[c]
THE COLLEGEWAY east of GLEN ERIN DR,5:47 AM[c],6:17 AM[c],6:47 AM[c],7:17 AM[c],7:44 AM[c],8:17 AM[c],8:47 AM[c],9:17 AM[c],9:47 AM[c],10:17 AM[c],10:47 AM[c],11:17 AM[c],11:47 AM[c],12:17 PM[c],12:47 PM[c],1:14 PM[c],1:47 PM[c],2:17 PM[c],2:49 PM[c],3:17 PM[c],3:47 PM[c],4:14 PM[c],4:47 PM[c],5:17 PM[c],5:47 PM[c],6:17 PM[c],6:44 PM[c],7:20 PM[c],7:47 PM[c],8:17 PM[c],8:47 PM[c],9:17 PM[c],9:44 PM[c],10:17 PM[c],10:47 PM[c],11:17 PM[c],11:50 PM[c],12:14 AM[c],12:47 AM[c]
GLEN ERIN DR at THE COLLEGEWAY,5:47 AM[c],6:17 AM[c],6:47 AM[c],7:17 AM[c],7:44 AM[c],8:17 AM[c],8:47 AM[c],9:17 AM[c],9:47 AM[c],10:17 AM[c],10:47 AM[c],11:17 AM[c],11:47 AM[c],12:17 PM[c],12:47 PM[c],1:14 PM[c],1:47 PM[c],2:17 PM[c],2:49 PM[c],3:17 PM[c],3:47 PM[c],4:14 PM[c],4:47 PM[c],5:17 PM[c],5:47 PM[c],6:17 PM[c],6:44 PM[c],7:20 PM[c],7:47 PM[c],8:17 PM[c],8:47 PM[c],9:17 PM[c],9:44 PM[c],10:17 PM[c],10:47 PM[c],11:17 PM[c],11:50 PM[c],12:14 AM[c],12:47 AM[c]
WOODCHESTER DR at DUNDAS ST W,5:51 AM[c],6:21 AM[c],6:51 AM[c],7:21 AM[c],7:48 AM[c],8:21 AM[c],8:51 AM[c],9:21 AM[c],9:51 AM[c],10:21 AM[c],10:51 AM[c],11:21 AM[c],11:51 AM[c],12:21 PM[c],12:51 PM[c],1:18 PM[c],1:51 PM[c],2:21 PM[c],2:53 PM[c],3:21 PM[c],3:51 PM[c],4:18 PM[c],4:51 PM[c],5:21 PM[c],5:51 PM[c],6:21 PM[c],6:48 PM[c],7:24 PM[c],7:51 PM[c],8:21 PM[c],8:51 PM[c],9:21 PM[c],9:48 PM[c],10:21 PM[c],10:51 PM[c],11:21 PM[c],11:54 PM[c],12:18 AM[c],12:51 AM[c]
HOMELANDS DR at PYRAMID CRES,5:56 AM[c],6:26 AM[c],6:56 AM[c],7:26 AM[c],7:53 AM[c],8:26 AM[c],8:56 AM[c],9:26 AM[c],9:56 AM[c],10:26 AM[c],10:56 AM[c],11:26 AM[c],11:56 AM[c],12:26 PM[c],12:56 PM[c],1:23 PM[c],1:56 PM[c],2:26 PM[c],2:58 PM[c],3:26 PM[c],3:56 PM[c],4:23 PM[c],4:56 PM[c],5:26 PM[c],5:56 PM[c],6:26 PM[c],6:53 PM[c],7:29 PM[c],7:56 PM[c],8:26 PM[c],8:56 PM[c],9:26 PM[c],9:53 PM[c],10:26 PM[c],10:56 PM[c],11:26 PM[c],11:59 PM[c],12:23 AM[c],12:56 AM[c]
SHERIDAN CENTRE BUS TERMINAL PLATFORM B,6:00 AM[c],6:30 AM[c],7:00 AM[c],7:30 AM[c],7:57 AM[c],8:30 AM[c],9:00 AM[c],9:30 AM[c],10:00 AM[c],10:30 AM[c],11:00 AM[c],11:30 AM[c],12:00 PM[c],12:30 PM[c],1:00 PM[c],1:27 PM[c],2:00 PM[c],2:30 PM[c],3:02 PM[c],3:30 PM[c],4:00 PM[c],4:27 PM[c],5:00 PM[c],5:30 PM[c],6:00 PM[c],6:30 PM[c],6:57 PM[c],7:33 PM[c],8:00 PM[c],8:30 PM[c],9:00 PM[c],9:30 PM[c],9:57 PM[c],10:30 PM[c],11:00 PM[c],11:30 PM[c],12:03 AM[c],12:27 AM[c],1:00 AM[c]
TRUSCOTT DR at THETFORD CRT,6:05 AM[c],6:35 AM[c],7:05 AM[c],7:35 AM[c],8:02 AM[c],8:35 AM[c],9:05 AM[c],9:35 AM[c],10:05 AM[c],10:35 AM[c],11:05 AM[c],11:35 AM[c],12:05 PM[c],12:35 PM[c],1:05 PM[c],1:32 PM[c],2:05 PM[c],2:35 PM[c],3:07 PM[c],3:35 PM[c],4:05 PM[c],4:32 PM[c],5:05 PM[c],5:35 PM[c],6:05 PM[c],6:35 PM[c],7:02 PM[c],7:38 PM[c],8:05 PM[c],8:35 PM[c],9:05 PM[c],9:35 PM[c],10:02 PM[c],10:35 PM[c],11:05 PM[c],11:35 PM[c],12:08 AM[c],12:32 AM[c],1:05 AM[c]
BROMSGROVE RD at CRAMER ST,6:12 AM[c],6:42 AM[c],7:12 AM[c],7:42 AM[c],8:09 AM[c],8:42 AM[c],9:12 AM[c],9:42 AM[c],10:12 AM[c],10:42 AM[c],11:12 AM[c],11:42 AM[c],12:12 PM[c],12:42 PM[c],1:12 PM[c],1:39 PM[c],2:12 PM[c],2:42 PM[c],3:14 PM[c],3:42 PM[c],4:12 PM[c],4:39 PM[c],5:12 PM[c],5:42 PM[c],6:12 PM[c],6:42 PM[c],7:09 PM[c],7:45 PM[c],8:12 PM[c],8:42 PM[c],9:12 PM[c],9:42 PM[c],10:09 PM[c],10:42 PM[c],11:12 PM[c],11:42 PM[c],12:15 AM[c],12:39 AM[c],1:12 AM[c]
CLARKSON GO STATION PLATFORM F,6:18 AM[c],6:48 AM[c],7:18 AM[c],7:48 AM[c],8:15 AM[c],8:48 AM[c],9:18 AM[c],9:48 AM[c],10:18 AM[c],10:48 AM[c],11:18 AM[c],11:48 AM[c],12:18 PM[c],12:48 PM[c],1:18 PM[c],1:45 PM[c],2:18 PM[c],2:48 PM[c],3:20 PM[c],3:48 PM[c],4:18 PM[c],4:45 PM[c],5:18 PM[c],5:48 PM[c],6:18 PM[c],6:48 PM[c],7:15 PM[c],7:51 PM[c],8:18 PM[c],8:48 PM[c],9:18 PM[c],9:48 PM[c],10:15 PM[c],10:48 PM[c],11:18 PM[c],11:48 PM[c],12:21 AM[c],12:45 AM[c],1:18 AM[c]
INVERHOUSE DR at CARRERA CRT,6:22 AM[c],6:52 AM[c],7:22 AM[c],7:52 AM[c],8:19 AM[c],8:52 AM[c],9:22 AM[c],9:52 AM[c],10:22 AM[c],10:52 AM[c],11:22 AM[c],11:52 AM[c],12:22 PM[c],12:52 PM[c],1:22 PM[c],1:49 PM[c],2:22 PM[c],2:52 PM[c],3:24 PM[c],3:52 PM[c],4:22 PM[c],4:49 PM[c],5:22 PM[c],5:52 PM[c],6:22 PM[c],6:52 PM[c],7:19 PM[c],7:55 PM[c],8:22 PM[c],8:52 PM[c],9:22 PM[c],9:52 PM[c],10:19 PM[c],10:52 PM[c],11:22 PM[c],11:52 PM[c],12:25 AM[c],12:49 AM[c],1:22 AM[c]
CLARKSON GO STATION PLATFORM F,6:26 AM[c],6:56 AM[c],7:26 AM[c],7:56 AM[c],8:23 AM[c],8:56 AM[c],9:26 AM[c],9:56 AM[c],10:26 AM[c],10:56 AM[c],11:26 AM[c],11:56 AM[c],12:26 PM[c],12:56 PM[c],1:26 PM[c],1:53 PM[c],2:26 PM[c],2:56 PM[c],3:28 PM[c],3:56 PM[c],4:26 PM[c],4:53 PM[c],5:26 PM[c],5:56 PM[c],6:26 PM[c],6:56 PM[c],7:23 PM[c],7:59 PM[c],8:26 PM[c],8:56 PM[c],9:26 PM[c],9:56 PM[c],10:23 PM[c],10:56 PM[c],11:26 PM[c],11:56 PM[c],12:29 AM[c],12:53 AM[c],1:26 AM[c]
